"scientificName","individualCount","country","locality","totalObservation","longitudeDecimal","latitudeDecimal"
"Aix galericulata",1,"Poland","Poland - Warszawa",1,21.0356,52.2138
"Grus grus",10,"Poland","Poland - Podlaskie",450,22.7926540366,53.1208293805
"Alces alces",1,"Poland","Poland - Narwianski NP",173,22.7942562099,53.1181705482
"Spinulum annotinum",50,"Poland","Poland - Podlaskie",1202,22.93,53.01
"Mergus merganser",2,"Poland","Poland - Warszawa",3,21.0293,52.2147
"Sciurus vulgaris",4,"Poland","Poland - Warszawa",21,21.0303,52.2147
"Corvus cornix",2,"Poland","Poland - Warszawa",88,21.0106,52.2504
"Aglais urticae",1,"Poland","Poland - Podlaskie",11,22.9287385932,53.0098379063
"Sarcoscypha coccinea sl, incl. austriaca",1,"Poland","Poland - Podlaskie",1,22.9286026954,53.0151221091
"Corvus cornix",1,"Poland","Poland - Wielkopolskie",88,16.9567,52.4075
"Leucorrhinia caudalis",1,"Poland","Poland - Podlaskie",1,22.8,54.2
"Sympetrum sanguineum",1,"Poland","Poland - Podlaskie",42,22.8098206222,54.2252522757
"Orthetrum cancellatum",1,"Poland","Poland - Podlaskie",13,22.8098206222,54.2252522757
"Speyeria aglaja",1,"Poland","Poland - Podlaskie",6,22.8098206222,54.2252522757
"Thymelicus sylvestris",1,"Poland","Poland - Podlaskie",1,22.8105930984,54.2240480189
"Lycaena virgaureae",1,"Poland","Poland - Podlaskie",110,22.8,54.2
"Coenonympha glycerion",2,"Poland","Poland - Podlaskie",29,22.8,54.2
"Coenonympha arcania",1,"Poland","Poland - Podlaskie",9,22.8,54.2
"Fabriciana adippe",1,"Poland","Poland - Podlaskie",8,22.8105930984,54.2240480189
"Orthetrum cancellatum",1,"Poland","Poland - Podlaskie",13,22.8105930984,54.2240480189
"Aphantopus hyperantus",1,"Poland","Poland - Podlaskie",781,22.8113333881,54.222843727
"Cygnus olor",10,"Poland","Poland - Podlaskie",101,22.8106789291,54.2227935474
"Speyeria aglaja",1,"Poland","Poland - Podlaskie",6,22.8114943206,54.2227935474
"Pieris napi",1,"Poland","Poland - Podlaskie",459,22.8114943206,54.2227935474
"Grus grus",2,"Poland","Poland - Śląskie",450,18.7557981535792,50.4581191898836
"Corvus cornix",2,"Poland","Poland - Warszawa",88,20.9673786155,52.1728473551
"Chrysochraon dispar",1,"Poland","Poland - Wigry NP",1,23.0827333778,54.0690969167
"Thymelicus lineola",1,"Poland","Poland - Wigry NP",73,23.0637507141,54.0965498294
"Motacilla alba",1,"Poland","Poland - Wigry NP",122,23.0852010101,54.0692228321
"Phalacrocorax carbo sinensis",1000,"Poland","Poland- Mazurisch Merenplateau",1000,21.6224965453,54.10092817
"Aphantopus hyperantus",1,"Poland","Poland- Mazurisch Merenplateau",781,21.5751387924,53.6457696846
"Lycaena virgaureae",5,"Poland","Poland- Mazurisch Merenplateau",110,21.55,53.6
"Polygonia c-album",1,"Poland","Poland- Mazurisch Merenplateau",16,21.5763618797,53.6467490814
"Ciconia ciconia",1,"Poland","Poland- Mazurisch Merenplateau",341,21.576018557,53.646087673
"Corvus frugilegus",1,"Poland","Poland - Podlaskie",37,22.8854566815,52.9923546957
"Capreolus capreolus",10,"Poland","Poland - Podlaskie",185,22.8726911536,53.0305415518
"Grus grus",2,"Poland","Poland - Podlaskie",450,22.8551387778,53.0297930894
"Dendrocoptes medius",1,"Poland","Poland - Białowieża",62,23.8331,52.7024
"Dendrocoptes medius",1,"Poland","Poland - Białowieża",62,23.8062,52.7102
"Dryocopus martius",1,"Poland","Poland - Białowieża",72,23.819,52.7075
"Grus grus",2,"Poland","Poland - Narwianski NP",450,22.7934265128,53.1016549771
"Cygnus cygnus",5,"Poland","Poland - Podlaskie",6,22.9879760725,52.9841243711
"Capreolus capreolus",10,"Poland","Poland - Podlaskie",185,22.9692935935,52.980262489
"Alces alces",4,"Poland","Poland - Podlaskie",173,22.9706668845,52.9818300209
"Grus grus",2,"Poland","Poland - Podlaskie",450,22.5751,53.2242
"Grus grus",2,"Poland","Poland - Podlaskie",450,22.8094,53.065
"Dryocopus martius",1,"Poland","Poland - Bialowieski Park Narodowy",72,23.9064,52.7988
"Dryocopus martius",1,"Poland","Poland - Białowieża",72,23.7616,52.7876
"Papilio machaon",1,"Poland","Poland - Podlaskie",13,22.6007652283,53.6351542265
"Hemaris tityus",1,"Poland","Poland - Podlaskie",1,22.6007652283,53.6351542265
"Lacerta agilis",1,"Poland","Poland - Podlaskie",15,22.8,53.65
"Passer montanus",1,"Poland","Poland - Bialowieski Park Narodowy",295,23.867297224553,52.760956852
"Picus canus",1,"Poland","Poland - Bialowieski Park Narodowy",23,23.85,52.7
"Sciurus vulgaris",1,"Poland","Poland - Białowieża - Palace Park",21,23.8484296203,52.7055662574
"Vipera berus",1,"Poland","Poland - Białowieża - Palace Park",3,23.8,52.7
"Natrix natrix",1,"Poland","Poland - Białowieża - Palace Park",89,23.8,52.7
"Rana temporaria",1,"Poland","Poland - Białowieża - Palace Park",21,23.8484296203,52.7055662574
"Pelophylax lessonae",1,"Poland","Poland - Białowieża - Palace Park",1,23.8484296203,52.7055662574
"Triturus cristatus",1,"Poland","Poland - Białowieża - Palace Park",1,23.8,52.7
"Saxicola rubetra",1,"Poland","Poland - Bialowieski Park Narodowy",113,23.8893198967,52.7167403785
"Dendrocoptes medius",1,"Poland","Poland - Bialowieski Park Narodowy",62,23.8913798332,52.7317116345
"Dendrocopos leucotos",1,"Poland","Poland - Bialowieski Park Narodowy",45,23.8913798332,52.7317116345
"Ficedula albicollis",1,"Poland","Poland - Bialowieski Park Narodowy",44,23.8913798332,52.7317116345
"Hirundo rustica",1,"Poland","Poland - Białowieża",1026,23.8668268919,52.7056174505
"Motacilla alba",1,"Poland","Poland - Białowieża",122,23.8668268919,52.7056174505
"Jynx torquilla",1,"Poland","Poland - Białowieża",53,23.8668268919,52.7056174505
"Parus major",1,"Poland","Poland - Białowieża",52,23.8668268919,52.7056174505
"Turdus philomelos",1,"Poland","Poland - Białowieża",46,23.8668268919,52.7056174505
"Turdus pilaris",1,"Poland","Poland - Białowieża",81,23.8668268919,52.7056174505
"Luscinia luscinia",1,"Poland","Poland - Białowieża",57,23.8668268919,52.7056174505
"Helix pomatia",1,"Poland","Poland - Białowieża",27,23.8599604368,52.7119616856
"Hyla arborea",10,"Poland","Poland - Białowieża",38,23.85,52.7
"Picoides tridactylus",1,"Poland","Poland - Białowieża",23,23.7469245316,52.7283506315
"Pyrrhula pyrrhula",15,"Poland","Poland - Narwianski NP",49,22.7974963184,53.1048266856
"Sturnus vulgaris",1,"Poland","Poland - Biebrza NP",837,22.5844809748821,53.47962636315
"Passer domesticus",1,"Poland","Poland - Biebrza NP",307,22.5844809748821,53.47962636315
"Cygnus olor",1,"Poland","Poland - Biebrza NP",101,22.5844809748821,53.47962636315
"Capreolus capreolus",1,"Poland","Poland - Podlaskie",185,22.9166686533,53.031454314
"Turdus pilaris",10,"Poland","Poland - Podlaskie",81,22.8993844977,53.0156008167
"Capreolus capreolus",15,"Poland","Poland - Podlaskie",185,22.9168224317,53.0221390999
"Coloeus monedula",1,"Poland","Poland - Małopolskie",30,19.20161065,50.02799313
"Lanius excubitor",1,"Poland","Poland - Biebrza NP",66,22.5616854429,53.3668389663
"Remiz pendulinus",2,"Poland","Poland - Biebrza NP",49,22.6,53.45
"Poecile montanus",1,"Poland","Poland - Biebrza NP - Budy Marsh",18,22.5444321334,53.366737738
"Poecile palustris",1,"Poland","Poland - Białowieża",44,23.8228084892,52.6902614865
"Emberiza citrinella",30,"Poland","Poland - Podlaskie",281,22.5932158157,53.3692282648
"Passer montanus",50,"Poland","Poland - Podlaskie",295,22.5932158157,53.3692282648
"Coccothraustes coccothraustes",1,"Poland","Poland - Białowieża",57,23.5953786224,52.7373438154
"Aegithalos caudatus caudatus",15,"Poland","Poland - Białowieża",41,23.8226227462,52.6900141685
"Sus scrofa",1,"Poland","Poland - Biebrza NP",112,22.5603121519,53.3663268206
"Lanius excubitor",1,"Poland","Poland - Biebrza NP",66,22.5616854429,53.3668389663
"Castor fiber",1,"Poland","Poland - Podlaskie",50,22.35,53.15
"Mustela vison",1,"Poland","Poland - Podlaskie",4,22.4004511535,53.169645998
"Lutra lutra",2,"Poland","Poland - Podlaskie",11,22.4,53.15
"Dryocopus martius",1,"Poland","Poland - Biebrza NP",72,22.5834864378,53.3885482806
"Emberiza citrinella",1,"Poland","Poland - Biebrza NP - Red Marsh",281,22.7753743529,53.6590335312
"Alces alces",4,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7753743529,53.6590335312
"Buteo lagopus",7,"Poland","Poland - Biebrza NP",35,22.637103796,53.4833437869
"Corvus corax",2,"Poland","Poland - Bialowieski Park Narodowy",62,23.8453745842,52.745430771
"Haliaeetus albicilla",1,"Poland","Poland - Bialowieski Park Narodowy",84,23.8453745842,52.745430771
"Buteo lagopus",7,"Poland","Poland - Biebrza NP",35,22.637103796,53.4833437869
"Alces alces",4,"Poland","Poland - Biebrza NP - Red Marsh",173,22.7753743529,53.6590335312
"Emberiza citrinella",1,"Poland","Poland - Biebrza NP - Red Marsh",281,22.7753743529,53.6590335312
